x,y,z,T,p
0.968139,0.0821508,0.05,300.003,3.75444
0.882586,0.0116394,0.05,311.609,13.8441
0.454148,0.032858,0.05,300.528,65.2337
0.564516,0.0506217,0.05,300.058,51.7034
0.47847,0.022809,0.05,302.317,62.2092
0.96225,0.0253982,0.05,304.116,4.44863
0.491862,0.0424879,0.05,300.158,60.5654
0.726248,0.064503,0.05,300.011,32.3449
0.970314,0.0519302,0.05,300.194,3.49851
0.353224,0.0544127,0.05,300.01,78.1412
0.524925,0.00113492,0.05,317.044,56.4998
0.596515,0.0190957,0.05,304.416,47.8369
0.386045,0.0331553,0.05,300.384,73.8565
0.416581,0.0618769,0.05,300.004,69.9591
0.0908771,0.0845654,0.05,300,119.934
0.141056,0.0608022,0.05,300,110.124
0.0127123,0.0550996,0.05,300,144.751
0.147565,0.0176086,0.05,300.878,108.546
0.2527,0.0800655,0.05,300,91.9377
0.524339,0.0322691,0.05,300.742,56.5814
